"n","p","dimension","correlation","scheme","metric","replications","mean","sd","se","ci_lower","ci_upper"
100,200,"n=100, p=200","ar1_rho_0.9","original","f1_glmnet",100,0.343417281149556,0.0849997034891209,0.00849997034891209,0.326757339265688,0.360077223033423
100,200,"n=100, p=200","ar1_rho_0.9","original","rmse_lasso",100,3.92457786237766,0.544614191968956,0.0544614191968956,3.81783348075175,4.03132224400358
100,200,"n=100, p=200","ar1_rho_0.9","original","rmse_lar",100,3.97180697134211,0.55319888693316,0.055319888693316,3.86337998950321,4.08023395318101
100,200,"n=100, p=200","ar1_rho_0.9","original","rmse_glmnet",100,3.95387841114744,0.547981443107529,0.0547981443107529,3.84647404829836,4.06128277399652
100,200,"n=100, p=200","ar1_rho_0.9","original","elapsed_seconds",100,0.175599999999999,0.0615017450684462,0.00615017450684462,0.163545657966584,0.187654342033415
100,200,"n=100, p=200","ar1_rho_0.9","quantile_2","mean_entry_tau",100,0.835202104853879,0.0299437987295298,0.00299437987295298,0.829333120302891,0.841071089404867
100,200,"n=100, p=200","ar1_rho_0.9","quantile_2","mean_jaccard_s",100,0.941363366585106,0.0523290203239782,0.00523290203239782,0.931106878601606,0.951619854568605
100,200,"n=100, p=200","ar1_rho_0.9","quantile_2","mean_jaccard_2s",100,0.854227222590704,0.0607999634033395,0.00607999634033395,0.842310429763649,0.866144015417758
100,200,"n=100, p=200","ar1_rho_0.9","quantile_2","mean_support_f1",100,0.29184870297661,0.080126907918565,0.0080126907918565,0.276143829024571,0.307553576928649
100,200,"n=100, p=200","ar1_rho_0.9","quantile_2","mean_rmse",100,4.34784628059174,0.562645275616779,0.0562645275616779,4.23756780657085,4.45812475461262
100,200,"n=100, p=200","ar1_rho_0.9","quantile_2","f1_lasso",100,0.292,0.0812528165789975,0.00812528165789974,0.276074447950516,0.307925552049483
100,200,"n=100, p=200","ar1_rho_0.9","quantile_2","f1_lar",100,0.29,0.080403025220737,0.0080403025220737,0.274241007056736,0.305758992943264
100,200,"n=100, p=200","ar1_rho_0.9","quantile_2","f1_glmnet",100,0.29354610892983,0.0811491448466276,0.00811491448466276,0.277640876539891,0.309451341319769
100,200,"n=100, p=200","ar1_rho_0.9","quantile_2","rmse_lasso",100,4.33479031613287,0.562748870432507,0.0562748870432507,4.2244915375281,4.44508909473764
100,200,"n=100, p=200","ar1_rho_0.9","quantile_2","rmse_lar",100,4.36233291255062,0.566169361329717,0.0566169361329717,4.25136371772999,4.47330210737124
100,200,"n=100, p=200","ar1_rho_0.9","quantile_2","rmse_glmnet",100,4.34641561309172,0.561218823844871,0.0561218823844871,4.23641672361812,4.45641450256531
100,200,"n=100, p=200","ar1_rho_0.9","quantile_2","elapsed_seconds",100,0.245499999999997,0.0802694326514307,0.00802694326514307,0.229767191200317,0.261232808799678
100,200,"n=100, p=200","ar1_rho_0.9","quantile_4","mean_entry_tau",100,0.881492861476757,0.0273176098280206,0.00273176098280206,0.876138609950465,0.886847113003049
