"n","p","dimension","correlation","scheme","metric","replications","mean","sd","se","ci_lower","ci_upper"
100,100,"n=100, p=100","ar1_rho_0.9","equal_width_4","delta_mean_rmse",100,0.635076859469815,0.22631393330714,0.022631393330714,0.590719328541615,0.679434390398014
100,100,"n=100, p=100","block","quantile_2","delta_mean_entry_tau",100,-0.0179858478619053,0.0400624647275812,0.00400624647275812,-0.0258380909485113,-0.0101336047752994
100,100,"n=100, p=100","block","quantile_2","delta_mean_jaccard_s",100,0.0103671328671329,0.0730849957873543,0.00730849957873543,-0.00395752630718857,0.0246917920414543
100,100,"n=100, p=100","block","quantile_2","delta_mean_jaccard_2s",100,0.0332302810447738,0.0917241590866545,0.00917241590866545,0.0152523458637895,0.0512082162257581
100,100,"n=100, p=100","block","quantile_2","delta_mean_support_f1",100,-0.0787519292301901,0.0941314578736662,0.00941314578736662,-0.0972016949734287,-0.0603021634869515
100,100,"n=100, p=100","block","quantile_2","delta_mean_rmse",100,0.280722931416487,0.15176824156247,0.015176824156247,0.250976356070243,0.310469506762732
100,100,"n=100, p=100","block","quantile_4","delta_mean_entry_tau",100,0.00114141563422234,0.0388852306688886,0.00388852306688886,-0.00648008957687982,0.00876292084532451
100,100,"n=100, p=100","block","quantile_4","delta_mean_jaccard_s",100,0.00939088689088689,0.0781059906224151,0.00781059906224151,-0.00591788727110646,0.0246996610528803
100,100,"n=100, p=100","block","quantile_4","delta_mean_jaccard_2s",100,0.0455719649647186,0.088219374093878,0.0088219374093878,0.0282809676423185,0.0628629622871187
100,100,"n=100, p=100","block","quantile_4","delta_mean_support_f1",100,-0.143680751615534,0.113012672784417,0.0113012672784417,-0.16583123548128,-0.121530267749789
100,100,"n=100, p=100","block","quantile_4","delta_mean_rmse",100,0.463921212316473,0.171686777817809,0.0171686777817809,0.430270603864182,0.497571820768763
100,100,"n=100, p=100","block","quantile_8","delta_mean_entry_tau",100,0.0202520400686814,0.0389460520592316,0.00389460520592316,0.012618613865072,0.0278854662722908
100,100,"n=100, p=100","block","quantile_8","delta_mean_jaccard_s",100,0.000854423354423358,0.0842915060330703,0.00842915060330703,-0.0156667118280584,0.0173755585369051
