"dimension","correlation","scheme","metric","replications","mean","ci_lower","ci_upper"
"n=100, p=200","ar1_rho_0.9","quantile_8","delta_mean_jaccard_s",100,0.0526980420545638,0.0356671679932388,0.0697289161158888
"n=100, p=200","ar1_rho_0.9","quantile_8","delta_mean_jaccard_2s",100,0.12104870411603,0.105484901317963,0.136612506914097
"n=100, p=200","ar1_rho_0.9","equal_width_4","delta_mean_entry_tau",100,0.0631859085444843,0.0553280420954421,0.0710437749935264
"n=100, p=200","ar1_rho_0.9","equal_width_4","delta_mean_jaccard_s",100,0.0538809895418591,0.0382648257892335,0.0694971532944847
"n=100, p=200","ar1_rho_0.9","equal_width_4","delta_mean_jaccard_2s",100,0.109136298668168,0.0928446061378875,0.125427991198449
"n=100, p=200","block","quantile_2","delta_mean_entry_tau",100,0.00537721395668533,-0.00230599942475779,0.0130604273381284
"n=100, p=200","block","quantile_2","delta_mean_jaccard_s",100,0.000987119643641379,-0.0141480875924915,0.0161223268797742
"n=100, p=200","block","quantile_2","delta_mean_jaccard_2s",100,0.00782123880609548,-0.0090387066594558,0.0246811842716468
"n=100, p=200","block","quantile_4","delta_mean_entry_tau",100,0.0445642878772466,0.036698055392796,0.0524305203616972
"n=100, p=200","block","quantile_4","delta_mean_jaccard_s",100,0.011132185930012,-0.00245111352685013,0.0247154853868741
"n=100, p=200","block","quantile_4","delta_mean_jaccard_2s",100,0.0580117319812565,0.0432507719298114,0.0727726920327016
"n=100, p=200","block","quantile_8","delta_mean_entry_tau",100,0.067752136070001,0.0599794996517047,0.0755247724882974
"n=100, p=200","block","quantile_8","delta_mean_jaccard_s",100,0.0223455831608005,0.00964786456628817,0.0350433017553129
"n=100, p=200","block","quantile_8","delta_mean_jaccard_2s",100,0.0851633575766176,0.0719324720840948,0.0983942430691404
"n=100, p=200","block","equal_width_4","delta_mean_entry_tau",100,0.0439533052442028,0.0356559821729507,0.0522506283154549
"n=100, p=200","block","equal_width_4","delta_mean_jaccard_s",100,0.0169667450906581,0.00324219522584186,0.0306912949554744
"n=100, p=200","block","equal_width_4","delta_mean_jaccard_2s",100,0.0670951510147954,0.0520209710155971,0.0821693310139937
"n=500, p=100","independent","quantile_2","delta_mean_entry_tau",100,-0.00316916385265785,-0.00346550121344454,-0.00287282649187116
"n=500, p=100","independent","quantile_2","delta_mean_jaccard_s",100,0,0,0
"n=500, p=100","independent","quantile_2","delta_mean_jaccard_2s",100,-0.000174887914018365,-0.0122957825348546,0.0119460067068179
"n=500, p=100","independent","quantile_4","delta_mean_entry_tau",100,-0.00550633756417857,-0.00588108443537997,-0.00513159069297717
"n=500, p=100","independent","quantile_4","delta_mean_jaccard_s",100,-0.00871017871017872,-0.0137385131447589,-0.0036818442755985
"n=500, p=100","independent","quantile_4","delta_mean_jaccard_2s",100,0.00103701129788086,-0.0103624340762352,0.0124364566719969
"n=500, p=100","independent","quantile_8","delta_mean_entry_tau",100,-0.000144571571507495,-0.000595226152930442,0.000306083009915453
"n=500, p=100","independent","quantile_8","delta_mean_jaccard_s",100,-0.0141647241647242,-0.0199327622839345,-0.00839668604551382
"n=500, p=100","independent","quantile_8","delta_mean_jaccard_2s",100,0.0164568668046929,0.00566969692069863,0.0272440366886871
