"dimension","correlation","scheme","metric","replications","mean","sd","se","ci_lower","ci_upper"
"n=100, p=200","block","quantile_8","delta_mean_entry_tau",100,0.0709835247959101,0.0390176074016691,0.00390176074016691,0.063336073745183,0.0786309758466373
"n=100, p=200","block","quantile_8","delta_mean_jaccard_s",100,0.0289238753999624,0.0566705085766552,0.00566705085766552,0.0178164557189379,0.0400312950809868
"n=100, p=200","block","quantile_8","delta_mean_jaccard_2s",100,0.088563840059808,0.0661034511710202,0.00661034511710202,0.075607563630288,0.101520116489328
"n=100, p=200","block","equal_width_4","delta_mean_entry_tau",100,0.0483675791610062,0.0419482540764373,0.00419482540764373,0.0401457213620245,0.0565894369599879
"n=100, p=200","block","equal_width_4","delta_mean_jaccard_s",100,0.0178585638998682,0.0625090545414335,0.00625090545414335,0.00560678920974727,0.0301103385899892
"n=100, p=200","block","equal_width_4","delta_mean_jaccard_2s",100,0.067953631488079,0.074427487283409,0.0074427487283409,0.0533658439805308,0.0825414189956272
"n=500, p=100","independent","quantile_2","delta_mean_entry_tau",100,0.00510914947199271,0.00294513896556033,0.000294513896556033,0.00453190223474289,0.00568639670924254
"n=500, p=100","independent","quantile_2","delta_mean_jaccard_s",100,0,0,0,0,0
"n=500, p=100","independent","quantile_2","delta_mean_jaccard_2s",100,-0.0019298575820315,0.0265574017580137,0.00265574017580137,-0.00713510832660219,0.0032753931625392
"n=500, p=100","independent","quantile_4","delta_mean_entry_tau",100,0.00432775585393827,0.00300117762706937,0.000300117762706937,0.00373952503903267,0.00491598666884387
"n=500, p=100","independent","quantile_4","delta_mean_jaccard_s",100,-0.00121212121212121,0.00852759358401757,0.000852759358401757,-0.00288352955458866,0.00045928713034623
"n=500, p=100","independent","quantile_4","delta_mean_jaccard_2s",100,-0.00147562582345191,0.0267265488991321,0.00267265488991321,-0.0067140294076818,0.00376277776077798
"n=500, p=100","independent","quantile_8","delta_mean_entry_tau",100,0.00347326742689833,0.00345350806202282,0.000345350806202282,0.00279637984674186,0.00415015500705481
"n=500, p=100","independent","quantile_8","delta_mean_jaccard_s",100,-0.00717171717171718,0.0210658592372814,0.00210658592372814,-0.0113006255822243,-0.00304280876121003
"n=500, p=100","independent","quantile_8","delta_mean_jaccard_2s",100,-0.000735930735930737,0.03037746093104,0.003037746093104,-0.00668991307841457,0.0052180516065531
"n=500, p=100","independent","equal_width_4","delta_mean_entry_tau",100,0.00411429012199768,0.00338766169329954,0.000338766169329954,0.00345030843011097,0.00477827181388439
"n=500, p=100","independent","equal_width_4","delta_mean_jaccard_s",100,-0.00525252525252525,0.020175474856484,0.0020175474856484,-0.00920691832439612,-0.00129813218065439
