"path_specification","n","p","dimension","correlation","scheme","metric","replications","original_mean","original_sd","original_se","original_ci_lower","original_ci_upper","sparsified_mean","sparsified_sd","sparsified_se","sparsified_ci_lower","sparsified_ci_upper","paired_difference_mean","paired_difference_sd","paired_difference_se","paired_difference_ci_lower","paired_difference_ci_upper"
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","quantile_8","F1",100,0.922484848484849,0.105551869215642,0.0105551869215642,0.901796682118583,0.943173014851114,0.677109557109557,0.151946694286175,0.0151946694286175,0.647328005029467,0.706891109189648,-0.245375291375291,0.163922409933601,0.0163922409933601,-0.277504083722277,-0.213246499028306
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","quantile_8","RMSE",100,1.74743840814662,0.321944996000791,0.0321944996000791,1.68433718893046,1.81053962736277,2.39546965448327,0.389951686602619,0.0389951686602619,2.31903912390916,2.47190018505739,0.648031246336655,0.211213462769771,0.0211213462769771,0.60663340763378,0.68942908503953
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","equal_width_4","A_entry",100,0.995343532979227,0.00861488652569396,0.000861488652569396,0.993655015220191,0.997032050738263,0.995794375954351,0.00545538746659051,0.000545538746659051,0.994725120010899,0.996863631897803,0.000450842975124419,0.00960370453728277,0.000960370453728277,-0.001431483114183,0.00233316906443184
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","equal_width_4","A_set_s",100,0.996666666666667,0.0190496231108628,0.00190496231108628,0.992932940536938,1.0004003927964,0.987301587301587,0.0395942580610999,0.00395942580610999,0.979541112721612,0.995062061881563,-0.00936507936507936,0.0449010535366065,0.00449010535366065,-0.0181656858582542,-0.000564472871904495
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","equal_width_4","A_set_2s",100,0.992727272727273,0.0262414267761128,0.00262414267761128,0.987583953079155,0.997870592375391,0.991616161616162,0.0223367115025212,0.00223367115025212,0.987238166161667,0.995994157070656,-0.00111111111111112,0.0310553485612415,0.00310553485612415,-0.00719795942911444,0.00497573720689222
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","equal_width_4","F1",100,0.922484848484849,0.105551869215642,0.0105551869215642,0.901796682118583,0.943173014851114,0.726444444444445,0.131587414953482,0.0131587414953482,0.700653311113562,0.752235577775327,-0.196040404040404,0.149479484194691,0.0149479484194691,-0.225338382942564,-0.166742425138244
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","equal_width_4","RMSE",100,1.74743840814662,0.321944996000791,0.0321944996000791,1.68433718893046,1.81053962736277,2.34928364328996,0.396016604869842,0.0396016604869842,2.27166438873547,2.42690289784445,0.601845235143345,0.217891305463066,0.0217891305463066,0.559138539272584,0.644551931014106
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_2","A_entry",100,0.973302234449967,0.022982778388618,0.0022982778388618,0.968797609885798,0.977806859014136,0.985386270703333,0.0243486541728845,0.00243486541728845,0.980613934485448,0.990158606921218,0.0120840362533661,0.0269990020541064,0.00269990020541064,0.00679223185076124,0.017375840655971
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_2","A_set_s",100,0.986269841269841,0.0555481682713068,0.00555481682713068,0.975382400288665,0.997157282251017,0.987777777777778,0.0443742430983891,0.00443742430983891,0.979080426130494,0.996475129425062,0.00150793650793651,0.0717236436398728,0.00717236436398728,-0.0125498976454786,0.0155657706613516
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_2","A_set_2s",100,0.943483682983683,0.0778415466810741,0.00778415466810741,0.928226739834192,0.958740626133174,0.938883893883894,0.0816027061622712,0.00816027061622712,0.922889763476089,0.954878024291699,-0.0045997890997891,0.108785982927389,0.0108785982927389,-0.0259218417535574,0.0167222635539792
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_2","F1",100,0.655737373737374,0.170676089291276,0.0170676089291276,0.622284860236284,0.689189887238464,0.571212121212121,0.163699553603195,0.0163699553603195,0.539127008705895,0.603297233718348,-0.0845252525252525,0.158587507960517,0.0158587507960517,-0.115608404085514,-0.0534421009649911
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_2","RMSE",100,1.56023436353897,0.543533775823623,0.0543533775823623,1.45370174347754,1.6667669836004,1.77382110539152,0.629757774764856,0.0629757774764856,1.65038858153761,1.89725362924543,0.213586741852547,0.163946076723101,0.0163946076723101,0.181453310814819,0.245720172890274
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_4","A_entry",100,0.973302234449967,0.022982778388618,0.0022982778388618,0.968797609885798,0.977806859014136,0.989068269789016,0.0149221355804879,0.00149221355804879,0.98614353121524,0.991993008362792,0.0157660353390492,0.0279727198520483,0.00279727198520483,0.0102833822480477,0.0212486884300507
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_4","A_set_s",100,0.986269841269841,0.0555481682713068,0.00555481682713068,0.975382400288665,0.997157282251017,0.985555555555556,0.0407407407407407,0.00407407407407407,0.97757037037037,0.993540740740741,-0.00071428571428571,0.0699761022308857,0.00699761022308857,-0.0144296017515393,0.0130010303229679
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","quantile_4","A_set_2s",100,0.943483682983683,0.0778415466810741,0.00778415466810741,0.928226739834192,0.958740626133174,0.977171717171717,0.0476732915989609,0.00476732915989609,0.967827752018321,0.986515682325113,0.0336880341880342,0.0889795213581234,0.00889795213581234,0.016248048001842,0.0511280203742264
