"path_specification","n","p","dimension","correlation","scheme","method","target","evaluated_replications","reached_target_percent","mean_selected_size"
"primary_controlled",100,100,"n=100, p=100","independent","quantile_2","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","independent","quantile_2","glmnet","s",100,100,10.2
"primary_controlled",100,100,"n=100, p=100","independent","quantile_2","glmnet","2s",100,100,20.25
"primary_controlled",100,100,"n=100, p=100","independent","quantile_4","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","independent","quantile_4","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","independent","quantile_4","lar","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","independent","quantile_4","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","independent","quantile_4","glmnet","s",100,100,10.26
"primary_controlled",100,100,"n=100, p=100","independent","quantile_4","glmnet","2s",100,100,20.37
"primary_controlled",100,100,"n=100, p=100","independent","quantile_8","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","independent","quantile_8","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","independent","quantile_8","lar","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","independent","quantile_8","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","independent","quantile_8","glmnet","s",100,100,10.37
"primary_controlled",100,100,"n=100, p=100","independent","quantile_8","glmnet","2s",100,100,20.47
"primary_controlled",100,100,"n=100, p=100","independent","equal_width_4","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","independent","equal_width_4","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","independent","equal_width_4","lar","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","independent","equal_width_4","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","independent","equal_width_4","glmnet","s",100,100,10.31
"primary_controlled",100,100,"n=100, p=100","independent","equal_width_4","glmnet","2s",100,100,20.47
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","original","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","original","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","original","lar","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","original","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","original","glmnet","s",100,100,10.14
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","original","glmnet","2s",100,100,20.18
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","quantile_2","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","quantile_2","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","quantile_2","lar","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","quantile_2","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","quantile_2","glmnet","s",100,100,10.21
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","quantile_2","glmnet","2s",100,100,20.24
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","quantile_4","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","quantile_4","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","quantile_4","lar","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","quantile_4","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","quantile_4","glmnet","s",100,100,10.25
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","quantile_4","glmnet","2s",100,100,20.22
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","quantile_8","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","quantile_8","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","quantile_8","lar","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","quantile_8","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","quantile_8","glmnet","s",100,100,10.28
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","quantile_8","glmnet","2s",100,100,20.39
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","equal_width_4","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","equal_width_4","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","equal_width_4","lar","s",100,100,10
