"path_specification","n","p","dimension","correlation","scheme","metric","replications","mean","sd","se","ci_lower","ci_upper"
"primary_controlled",100,100,"n=100, p=100","independent","quantile_2","f1_lasso",100,0.724,0.0933333333333334,0.00933333333333334,0.705706666666667,0.742293333333333
"primary_controlled",100,100,"n=100, p=100","independent","quantile_2","f1_lar",100,0.724,0.0933333333333334,0.00933333333333334,0.705706666666667,0.742293333333333
"primary_controlled",100,100,"n=100, p=100","independent","quantile_2","f1_glmnet",100,0.72678336156597,0.0934974597498646,0.00934974597498646,0.708457859454997,0.745108863676944
"primary_controlled",100,100,"n=100, p=100","independent","quantile_2","rmse_lasso",100,3.09698782083461,0.385959838546406,0.0385959838546406,3.02133969247951,3.1726359491897
"primary_controlled",100,100,"n=100, p=100","independent","quantile_2","rmse_lar",100,3.09698782083461,0.385959838546406,0.0385959838546406,3.02133969247951,3.1726359491897
"primary_controlled",100,100,"n=100, p=100","independent","quantile_2","rmse_glmnet",100,3.12898548902706,0.384513121583474,0.0384513121583474,3.0536209171967,3.20435006085742
"primary_controlled",100,100,"n=100, p=100","independent","quantile_2","elapsed_seconds",100,0.465900000000001,0.0838359991141822,0.00838359991141822,0.449468144173621,0.482331855826381
"primary_controlled",100,100,"n=100, p=100","independent","quantile_4","mean_entry_tau",100,0.946539137650677,0.0166620337040258,0.00166620337040258,0.943273379044688,0.949804896256666
"primary_controlled",100,100,"n=100, p=100","independent","quantile_4","mean_jaccard_s",100,0.984825174825175,0.0318012692839237,0.00318012692839237,0.978592126045526,0.991058223604824
"primary_controlled",100,100,"n=100, p=100","independent","quantile_4","mean_jaccard_2s",100,0.986810966810967,0.0199157856953246,0.00199157856953246,0.982907472814683,0.99071446080725
"primary_controlled",100,100,"n=100, p=100","independent","quantile_4","mean_support_f1",100,0.576522303783173,0.101688672334774,0.0101688672334774,0.556591324005558,0.596453283560789
"primary_controlled",100,100,"n=100, p=100","independent","quantile_4","mean_rmse",100,3.37856556814897,0.379789312674887,0.0379789312674887,3.30412686286469,3.45300427343325
"primary_controlled",100,100,"n=100, p=100","independent","quantile_4","f1_lasso",100,0.575,0.101876336206147,0.0101876336206147,0.555032238103595,0.594967761896405
"primary_controlled",100,100,"n=100, p=100","independent","quantile_4","f1_lar",100,0.575,0.101876336206147,0.0101876336206147,0.555032238103595,0.594967761896405
"primary_controlled",100,100,"n=100, p=100","independent","quantile_4","f1_glmnet",100,0.57956691134952,0.103034590056623,0.0103034590056623,0.559372131698422,0.599761691000618
"primary_controlled",100,100,"n=100, p=100","independent","quantile_4","rmse_lasso",100,3.37311033249405,0.380852414352289,0.0380852414352289,3.298463259281,3.4477574057071
"primary_controlled",100,100,"n=100, p=100","independent","quantile_4","rmse_lar",100,3.37311033249405,0.380852414352289,0.0380852414352289,3.298463259281,3.4477574057071
"primary_controlled",100,100,"n=100, p=100","independent","quantile_4","rmse_glmnet",100,3.38947603945882,0.378350975087379,0.0378350975087379,3.31531924834169,3.46363283057595
"primary_controlled",100,100,"n=100, p=100","independent","quantile_4","elapsed_seconds",100,0.622799999999993,0.085387766729603,0.0085387766729603,0.606063997720991,0.639536002278996
