"n","p","dimension","correlation","scheme","metric","paired_difference_mean_primary","paired_difference_ci_lower_primary","paired_difference_ci_upper_primary","paired_difference_mean_sensitivity","paired_difference_ci_lower_sensitivity","paired_difference_ci_upper_sensitivity","absolute_difference","same_sign","primary_direction","sensitivity_direction","same_ci_direction"
100,100,"n=100, p=100","ar1_rho_0.5","quantile_4","A_entry",0.00155489699546134,-0.00412267984390632,0.007232473834829,-0.000952853712422805,-0.00676082510889874,0.00485511768405312,0.00250775070788414,FALSE,"includes_zero","includes_zero",TRUE
100,100,"n=100, p=100","ar1_rho_0.5","quantile_4","A_set_s",-0.00535353535353536,-0.0126180013049722,0.00191093059790149,-0.0088888888888889,-0.015673281422861,-0.00210449635491682,0.00353535353535354,TRUE,"includes_zero","negative",FALSE
100,100,"n=100, p=100","ar1_rho_0.5","quantile_4","A_set_2s",0.00446608946608946,-0.00170284816558131,0.0106350270977602,0.00354256854256854,-0.00258264412272092,0.009667781207858,0.000923520923520924,TRUE,"includes_zero","includes_zero",TRUE
100,100,"n=100, p=100","ar1_rho_0.5","quantile_4","F1",-0.206793650793651,-0.228748427955099,-0.184838873632203,-0.206873015873016,-0.228951972375108,-0.184794059370923,7.93650793650957e-05,TRUE,"negative","negative",TRUE
100,100,"n=100, p=100","ar1_rho_0.5","quantile_4","RMSE",0.54373170379829,0.509121961957219,0.57834144563936,0.543427680702755,0.508928004813432,0.577927356592078,0.0003040230955349,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","ar1_rho_0.5","quantile_8","A_entry",0.0104204095293273,0.00481419785499394,0.0160266212036607,0.00729586463898353,0.00158378368307031,0.0130079455948967,0.00312454489034377,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","ar1_rho_0.5","quantile_8","A_set_s",-0.006993006993007,-0.0150805112656357,0.00109449727962166,-0.00595959595959597,-0.0130343191940686,0.00111512727487669,0.00103341103341103,TRUE,"includes_zero","includes_zero",TRUE
100,100,"n=100, p=100","ar1_rho_0.5","quantile_8","A_set_2s",-0.000169709517535608,-0.00685299782419432,0.00651357878912311,0.00265135830353221,-0.00384292486764397,0.0091456414747084,0.00282106782106782,FALSE,"includes_zero","includes_zero",TRUE
100,100,"n=100, p=100","ar1_rho_0.5","quantile_8","F1",-0.370042599912165,-0.398489617655019,-0.341595582169312,-0.369282828282828,-0.398010325993266,-0.340555330572391,0.000759771629336825,TRUE,"negative","negative",TRUE
100,100,"n=100, p=100","ar1_rho_0.5","quantile_8","RMSE",0.807432786883029,0.767403406443752,0.847462167322306,0.806758522446187,0.766773509177566,0.846743535714808,0.000674264436842265,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","ar1_rho_0.5","equal_width_4","A_entry",0.00103411598744767,-0.00470364933949239,0.00677188131438773,-0.000795878378209145,-0.00656265184616815,0.00497089508974986,0.00182999436565681,FALSE,"includes_zero","includes_zero",TRUE
100,100,"n=100, p=100","ar1_rho_0.5","equal_width_4","A_set_s",-0.00406371406371407,-0.012167708583365,0.00404028045593689,-0.00353535353535354,-0.00963182091642007,0.002561113845713,0.000528360528360531,TRUE,"includes_zero","includes_zero",TRUE
100,100,"n=100, p=100","ar1_rho_0.5","equal_width_4","A_set_2s",0.00445165945165945,-0.00191615146581225,0.0108194703691312,0.00513708513708513,-0.00102987391037141,0.0113040441845417,0.000685425685425685,TRUE,"includes_zero","includes_zero",TRUE
100,100,"n=100, p=100","ar1_rho_0.5","equal_width_4","F1",-0.271451157538114,-0.295862003684934,-0.247040311391294,-0.271486291486291,-0.296062759975977,-0.246909822996606,3.51339481773905e-05,TRUE,"negative","negative",TRUE
100,100,"n=100, p=100","ar1_rho_0.5","equal_width_4","RMSE",0.712385943039273,0.670856366389272,0.753915519689274,0.711939994134273,0.670479169893013,0.753400818375534,0.000445948904999605,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","ar1_rho_0.9","quantile_2","A_entry",0.0083405356592532,0.000699705751295345,0.015981365567211,-0.00696773427904085,-0.0149778857196501,0.00104241716156842,0.015308269938294,FALSE,"positive","includes_zero",FALSE
