"path_specification","scenario_id","representation","scheme","method","group_weight_specification","df_definition","replications","target_reached_s_mean","target_exact_s_mean","target_reached_2s_mean","target_exact_2s_mean","selected_parent_count_s_mean","selected_component_count_s_mean","selected_parent_count_2s_mean","selected_component_count_2s_mean"
"primary_controlled",9,"sparsified","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.67,1,0.75,20.38,40.76,40.29,80.58
"primary_controlled",9,"sparsified","quantile_2","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.67,1,0.75,20.38,40.76,40.29,80.58
"primary_controlled",9,"sparsified","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.65,1,0.59,20.52,22.37,40.55,46.36
"primary_controlled",9,"sparsified","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.74,1,0.83,20.34,81.36,40.21,160.84
"primary_controlled",9,"sparsified","quantile_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.77,1,0.83,20.28,81.12,40.21,160.84
"primary_controlled",9,"sparsified","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.65,1,0.64,20.49,21.98,40.46,45.59
"primary_controlled",9,"sparsified","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.69,1,0.86,20.33,162.64,40.15,321.2
"primary_controlled",9,"sparsified","quantile_8","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.71,1,0.86,20.37,162.96,40.15,321.2
"primary_controlled",10,"original","original","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.71,1,0.68,20.34,20.34,40.43,40.43
"primary_controlled",10,"original","original","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.71,1,0.68,20.34,20.34,40.43,40.43
"primary_controlled",10,"original","original","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.71,1,0.68,20.34,20.34,40.43,40.43
"primary_controlled",10,"sparsified","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.62,1,0.72,20.5,22.54,40.35,46
