"path_specification","scenario_id","replication","seed","n","p","correlation","representation","scheme","abs_f1_difference","abs_rmse_difference","abs_parent_count_difference_s","abs_parent_count_difference_2s","relative_noise_sd_difference","component_dimension_difference","raw_density_difference","lambda_max_relative_difference","requested_points_difference","requested_ratio_difference","archived_returned_points","current_returned_points","archived_jerr"
"primary_controlled",1,18,20360729,100,20,"independent","original","original",0,2.66453525910038e-15,0,0,1.18178294509727e-15,0,0,4.44089209850063e-16,0,0,200,200,0
"primary_controlled",1,18,20360729,100,20,"independent","sparsified","quantile_2",0,2.22044604925031e-15,0,0,1.18178294509727e-15,0,0,3.10862446895044e-15,0,0,200,200,0
"primary_controlled",1,18,20360729,100,20,"independent","sparsified","quantile_4",0,8.88178419700125e-16,0,0,1.18178294509727e-15,0,0,2.22044604925031e-15,0,0,200,200,0
"primary_controlled",1,18,20360729,100,20,"independent","sparsified","quantile_8",0,2.22044604925031e-15,0,0,1.18178294509727e-15,0,0,2.22044604925031e-15,0,0,200,200,0
"primary_controlled",1,18,20360729,100,20,"independent","sparsified","equal_width_4",0,2.44249065417534e-15,0,0,1.18178294509727e-15,0,0,2.22044604925031e-16,0,0,200,200,0
"primary_controlled",1,19,20360730,100,20,"independent","original","original",0,1.77635683940025e-15,0,0,1.33296981434304e-15,0,0,1.99840144432528e-15,0,0,200,200,0
"primary_controlled",1,19,20360730,100,20,"independent","sparsified","quantile_2",0,4.88498130835069e-15,0,0,1.33296981434304e-15,0,0,2.1094237467878e-15,0,0,200,200,0
"primary_controlled",1,19,20360730,100,20,"independent","sparsified","quantile_4",0,2.22044604925031e-15,0,0,1.33296981434304e-15,0,0,1.55431223447522e-15,0,0,200,200,0
"primary_controlled",1,19,20360730,100,20,"independent","sparsified","quantile_8",0,4.44089209850063e-15,0,0,1.33296981434304e-15,0,0,3.77475828372553e-15,0,0,200,200,0
"primary_controlled",1,19,20360730,100,20,"independent","sparsified","equal_width_4",0,2.22044604925031e-15,0,0,1.33296981434304e-15,0,0,3.33066907387547e-15,0,0,200,200,0
"primary_controlled",1,20,20360731,100,20,"independent","original","original",0,1.77635683940025e-15,0,0,1.82817100816029e-15,0,0,1.77635683940025e-15,0,0,200,200,0
"primary_controlled",1,20,20360731,100,20,"independent","sparsified","quantile_2",0,2.22044604925031e-15,0,0,1.82817100816029e-15,0,0,3.33066907387547e-16,0,0,200,200,0
"primary_controlled",1,20,20360731,100,20,"independent","sparsified","quantile_4",0,0,0,0,1.82817100816029e-15,0,0,4.44089209850063e-16,0,0,200,200,0
"primary_controlled",1,20,20360731,100,20,"independent","sparsified","quantile_8",1.11022302462516e-16,1.77635683940025e-15,0,0,1.82817100816029e-15,0,0,3.33066907387547e-16,0,0,200,200,0
"primary_controlled",1,20,20360731,100,20,"independent","sparsified","equal_width_4",0,2.66453525910038e-15,0,0,1.82817100816029e-15,0,0,2.22044604925031e-15,0,0,200,200,0
"primary_controlled",1,21,20360732,100,20,"independent","original","original",0,8.88178419700125e-16,0,0,1.08290078909578e-15,0,0,1.11022302462516e-15,0,0,200,200,0
"primary_controlled",1,21,20360732,100,20,"independent","sparsified","quantile_2",0,3.10862446895044e-15,0,0,1.08290078909578e-15,0,0,1.22124532708767e-15,0,0,200,200,0
"primary_controlled",1,21,20360732,100,20,"independent","sparsified","quantile_4",1.11022302462516e-16,1.33226762955019e-15,0,0,1.08290078909578e-15,0,0,1.77635683940025e-15,0,0,200,200,0
"primary_controlled",1,21,20360732,100,20,"independent","sparsified","quantile_8",0,3.99680288865056e-15,0,0,1.08290078909578e-15,0,0,1.11022302462516e-15,0,0,200,200,0
"primary_controlled",1,21,20360732,100,20,"independent","sparsified","equal_width_4",1.11022302462516e-16,4.44089209850063e-15,0,0,1.08290078909578e-15,0,0,3.21964677141295e-15,0,0,200,200,0
"primary_controlled",1,22,20360733,100,20,"independent","original","original",0,1.33226762955019e-15,0,0,0,0,0,1.33226762955019e-15,0,0,200,200,0
"primary_controlled",1,22,20360733,100,20,"independent","sparsified","quantile_2",0,4.44089209850063e-16,0,0,0,0,0,3.33066907387547e-15,0,0,200,200,0
"primary_controlled",1,22,20360733,100,20,"independent","sparsified","quantile_4",0,8.88178419700125e-16,0,0,0,0,0,4.21884749357559e-15,0,0,200,200,0
"primary_controlled",1,22,20360733,100,20,"independent","sparsified","quantile_8",1.11022302462516e-16,4.44089209850063e-15,0,0,0,0,0,2.22044604925031e-16,0,0,200,200,0
"primary_controlled",1,22,20360733,100,20,"independent","sparsified","equal_width_4",0,2.22044604925031e-15,0,0,0,0,0,2.44249065417534e-15,0,0,200,200,0
"primary_controlled",1,23,20360734,100,20,"independent","original","original",0,4.44089209850063e-15,0,0,9.14326392541612e-16,0,0,6.66133814775094e-16,0,0,200,200,0
"primary_controlled",1,23,20360734,100,20,"independent","sparsified","quantile_2",0,4.88498130835069e-15,0,0,9.14326392541612e-16,0,0,3.10862446895044e-15,0,0,200,200,0
"primary_controlled",1,23,20360734,100,20,"independent","sparsified","quantile_4",0,1.33226762955019e-15,0,0,9.14326392541612e-16,0,0,4.44089209850063e-16,0,0,200,200,0
