"scenario_id","replication","seed","n","p","dimension","correlation","active_s","snr","noise_sd","path_specification","group_weight_specification","lambda_scale_relative_error","max_training_prediction_rms_over_sd_y","f1_difference_group_minus_glmnet_s","rmse_difference_group_minus_glmnet_s","f1_difference_group_minus_glmnet_2s","rmse_difference_group_minus_glmnet_2s","entry_order_tau_glmnet_vs_group","active_set_jaccard_s_glmnet_vs_group","active_set_jaccard_2s_glmnet_vs_group"
1,26,20360737,100,20,"n=100, p=20","independent",5,3,1.24265010957859,"primary_controlled","sqrt_group_size",1.11022302462516e-15,3.51343513588679e-05,0,-6.90335109077012e-07,0,9.33755549881177e-06,1,1,1
1,27,20360738,100,20,"n=100, p=20","independent",5,3,1.3126577932311,"primary_controlled","equal_parent",2.88657986402541e-15,3.38233388965957e-05,0,-4.27957900228648e-08,0,5.47297767772292e-07,1,1,1
1,27,20360738,100,20,"n=100, p=20","independent",5,3,1.3126577932311,"primary_controlled","sqrt_group_size",2.88657986402541e-15,3.38233388965957e-05,0,-4.27957900228648e-08,0,5.47297767772292e-07,1,1,1
1,28,20360739,100,20,"n=100, p=20","independent",5,3,1.34402368563364,"primary_controlled","equal_parent",1.4432899320127e-15,3.58167711442568e-05,0,-1.76488973124833e-06,0,2.07655881001578e-06,1,1,1
1,28,20360739,100,20,"n=100, p=20","independent",5,3,1.34402368563364,"primary_controlled","sqrt_group_size",1.4432899320127e-15,3.58167711442568e-05,0,-1.76488973124833e-06,0,2.07655881001578e-06,1,1,1
1,29,20360740,100,20,"n=100, p=20","independent",5,3,1.41978860896509,"primary_controlled","equal_parent",1.33226762955019e-15,3.00448526693021e-05,0,5.42011854509639e-07,0,6.12771999142225e-07,1,1,1
1,29,20360740,100,20,"n=100, p=20","independent",5,3,1.41978860896509,"primary_controlled","sqrt_group_size",1.33226762955019e-15,3.00448526693021e-05,0,5.42011854509639e-07,0,6.12771999142225e-07,1,1,1
1,30,20360741,100,20,"n=100, p=20","independent",5,3,1.14389669040882,"primary_controlled","equal_parent",1.88737914186277e-15,2.55283502406017e-05,0,-3.55141694652339e-06,0,-8.05297478478906e-07,1,1,1
1,30,20360741,100,20,"n=100, p=20","independent",5,3,1.14389669040882,"primary_controlled","sqrt_group_size",1.88737914186277e-15,2.55283502406017e-05,0,-3.55141694652339e-06,0,-8.05297478478906e-07,1,1,1
1,31,20360742,100,20,"n=100, p=20","independent",5,3,1.12314074723855,"primary_controlled","equal_parent",2.22044604925031e-15,4.41889466261349e-05,0,-9.53369366563095e-07,0,-1.07742744770434e-06,1,1,1
1,31,20360742,100,20,"n=100, p=20","independent",5,3,1.12314074723855,"primary_controlled","sqrt_group_size",2.22044604925031e-15,4.41889466261349e-05,0,-9.53369366563095e-07,0,-1.07742744770434e-06,1,1,1
1,32,20360743,100,20,"n=100, p=20","independent",5,3,1.85056281149926,"primary_controlled","equal_parent",6.66133814775094e-16,2.27292904735165e-05,0,-6.95965218078243e-06,0,-1.13214993542332e-05,1,1,1
1,32,20360743,100,20,"n=100, p=20","independent",5,3,1.85056281149926,"primary_controlled","sqrt_group_size",6.66133814775094e-16,2.27292904735165e-05,0,-6.95965218078243e-06,0,-1.13214993542332e-05,1,1,1
1,33,20360744,100,20,"n=100, p=20","independent",5,3,1.39787654543912,"primary_controlled","equal_parent",9.99200722162641e-16,3.38373354277e-05,0,-5.05238318737611e-07,0,6.3275596784429e-07,1,1,1
1,33,20360744,100,20,"n=100, p=20","independent",5,3,1.39787654543912,"primary_controlled","sqrt_group_size",9.99200722162641e-16,3.38373354277e-05,0,-5.05238318737611e-07,0,6.3275596784429e-07,1,1,1
1,34,20360745,100,20,"n=100, p=20","independent",5,3,1.04915581532375,"primary_controlled","equal_parent",1.11022302462516e-15,3.55120869014493e-05,0,1.78185995292068e-07,0,-4.28467715529735e-07,1,1,1
1,34,20360745,100,20,"n=100, p=20","independent",5,3,1.04915581532375,"primary_controlled","sqrt_group_size",1.11022302462516e-15,3.55120869014493e-05,0,1.78185995292068e-07,0,-4.28467715529735e-07,1,1,1
1,35,20360746,100,20,"n=100, p=20","independent",5,3,1.29100734047516,"primary_controlled","equal_parent",2.88657986402541e-15,2.79814600705696e-05,0,-1.11121573120876e-06,0,6.73079354251982e-07,1,1,1
1,35,20360746,100,20,"n=100, p=20","independent",5,3,1.29100734047516,"primary_controlled","sqrt_group_size",2.88657986402541e-15,2.79814600705696e-05,0,-1.11121573120876e-06,0,6.73079354251982e-07,1,1,1
1,36,20360747,100,20,"n=100, p=20","independent",5,3,1.15097942856756,"primary_controlled","equal_parent",8.88178419700125e-16,4.6811207542821e-05,0,-3.99222244151787e-07,0,-1.12601382840083e-06,1,1,1
1,36,20360747,100,20,"n=100, p=20","independent",5,3,1.15097942856756,"primary_controlled","sqrt_group_size",8.88178419700125e-16,4.6811207542821e-05,0,-3.99222244151787e-07,0,-1.12601382840083e-06,1,1,1
1,37,20360748,100,20,"n=100, p=20","independent",5,3,1.59910678738198,"primary_controlled","equal_parent",6.66133814775094e-16,3.88830841129819e-05,0,2.557606211262e-07,0,-1.90309921799248e-06,1,1,1
1,37,20360748,100,20,"n=100, p=20","independent",5,3,1.59910678738198,"primary_controlled","sqrt_group_size",6.66133814775094e-16,3.88830841129819e-05,0,2.557606211262e-07,0,-1.90309921799248e-06,1,1,1
1,38,20360749,100,20,"n=100, p=20","independent",5,3,1.1874320203242,"primary_controlled","equal_parent",1.11022302462516e-15,4.31310353085808e-05,0,-2.8871403492392e-06,0,9.03108420802212e-06,1,1,1
1,38,20360749,100,20,"n=100, p=20","independent",5,3,1.1874320203242,"primary_controlled","sqrt_group_size",1.11022302462516e-15,4.31310353085808e-05,0,-2.8871403492392e-06,0,9.03108420802212e-06,1,1,1
1,39,20360750,100,20,"n=100, p=20","independent",5,3,1.15101687379866,"primary_controlled","equal_parent",6.66133814775094e-16,3.11054454546484e-05,0,-3.29738079285491e-07,0,7.26328014177824e-07,1,1,1
1,39,20360750,100,20,"n=100, p=20","independent",5,3,1.15101687379866,"primary_controlled","sqrt_group_size",6.66133814775094e-16,3.11054454546484e-05,0,-3.29738079285491e-07,0,7.26328014177824e-07,1,1,1
1,40,20360751,100,20,"n=100, p=20","independent",5,3,1.47204428050551,"primary_controlled","equal_parent",1.99840144432528e-15,2.55327193703091e-05,0,-5.19494487427608e-08,0,-2.13481927180403e-06,1,1,1
1,40,20360751,100,20,"n=100, p=20","independent",5,3,1.47204428050551,"primary_controlled","sqrt_group_size",1.99840144432528e-15,2.55327193703091e-05,0,-5.19494487427608e-08,0,-2.13481927180403e-06,1,1,1
1,41,20360752,100,20,"n=100, p=20","independent",5,3,0.983247835504661,"primary_controlled","equal_parent",1.88737914186277e-15,4.08897892837681e-05,0,-4.59898695903682e-06,0,-5.00446891349426e-06,1,1,1
1,41,20360752,100,20,"n=100, p=20","independent",5,3,0.983247835504661,"primary_controlled","sqrt_group_size",1.88737914186277e-15,4.08897892837681e-05,0,-4.59898695903682e-06,0,-5.00446891349426e-06,1,1,1
1,42,20360753,100,20,"n=100, p=20","independent",5,3,1.06681376316957,"primary_controlled","equal_parent",6.66133814775094e-16,3.37238384440413e-05,0,-2.82186141120633e-09,0,2.2290889800658e-08,1,1,1
1,42,20360753,100,20,"n=100, p=20","independent",5,3,1.06681376316957,"primary_controlled","sqrt_group_size",6.66133814775094e-16,3.37238384440413e-05,0,-2.82186141120633e-09,0,2.2290889800658e-08,1,1,1
1,43,20360754,100,20,"n=100, p=20","independent",5,3,1.49035752527324,"primary_controlled","equal_parent",8.88178419700125e-16,2.23960678225311e-05,0,-1.49608981336868e-06,0,-6.31810211038086e-07,1,1,1
1,43,20360754,100,20,"n=100, p=20","independent",5,3,1.49035752527324,"primary_controlled","sqrt_group_size",8.88178419700125e-16,2.23960678225311e-05,0,-1.49608981336868e-06,0,-6.31810211038086e-07,1,1,1
1,44,20360755,100,20,"n=100, p=20","independent",5,3,1.30886673379467,"primary_controlled","equal_parent",1.11022302462516e-15,3.06602924966154e-05,0,-6.88829592032647e-07,0,-3.80234956498526e-06,1,1,1
1,44,20360755,100,20,"n=100, p=20","independent",5,3,1.30886673379467,"primary_controlled","sqrt_group_size",1.11022302462516e-15,3.06602924966154e-05,0,-6.88829592032647e-07,0,-3.80234956498526e-06,1,1,1
1,45,20360756,100,20,"n=100, p=20","independent",5,3,1.38420174568403,"primary_controlled","equal_parent",9.99200722162641e-16,4.98981523860141e-05,0,-2.35659281022649e-06,0,1.16770659142063e-07,1,1,1
1,45,20360756,100,20,"n=100, p=20","independent",5,3,1.38420174568403,"primary_controlled","sqrt_group_size",9.99200722162641e-16,4.98981523860141e-05,0,-2.35659281022649e-06,0,1.16770659142063e-07,1,1,1
1,46,20360757,100,20,"n=100, p=20","independent",5,3,0.981341992393233,"primary_controlled","equal_parent",4.44089209850063e-16,4.32478730491147e-05,0,-2.02691479667116e-06,0,-2.25904124206977e-06,1,1,1
1,46,20360757,100,20,"n=100, p=20","independent",5,3,0.981341992393233,"primary_controlled","sqrt_group_size",4.44089209850063e-16,4.32478730491147e-05,0,-2.02691479667116e-06,0,-2.25904124206977e-06,1,1,1
1,47,20360758,100,20,"n=100, p=20","independent",5,3,1.61438302244639,"primary_controlled","equal_parent",8.88178419700125e-16,3.60171679684464e-05,0,-1.83027799138813e-07,0,7.59354285673197e-07,1,1,1
1,47,20360758,100,20,"n=100, p=20","independent",5,3,1.61438302244639,"primary_controlled","sqrt_group_size",8.88178419700125e-16,3.60171679684464e-05,0,-1.83027799138813e-07,0,7.59354285673197e-07,1,1,1
1,48,20360759,100,20,"n=100, p=20","independent",5,3,1.6391801953694,"primary_controlled","equal_parent",1.77635683940025e-15,4.29483156672388e-05,0,1.27613091649437e-07,0,-3.24859691347434e-06,1,1,1
1,48,20360759,100,20,"n=100, p=20","independent",5,3,1.6391801953694,"primary_controlled","sqrt_group_size",1.77635683940025e-15,4.29483156672388e-05,0,1.27613091649437e-07,0,-3.24859691347434e-06,1,1,1
1,49,20360760,100,20,"n=100, p=20","independent",5,3,1.66883374711419,"primary_controlled","equal_parent",1.66533453693773e-15,3.88812245278425e-05,0,-2.09903556935842e-06,0,1.07073565192017e-06,1,1,1
