"dataset","representation","method","k","metric","n_runs","mean","sd","se","ci_lower","ci_upper","min","max","confidence_level"
"hcv","sparsified","kmeans",5,"purity",30,0.898048780487805,0.00121904485952514,0.000222566122724211,0.897593581656275,0.898503979319335,0.895934959349593,0.899186991869919,0.95
"hcv","sparsified","kmeans",5,"silhouette",30,0.0440562951903677,0.00375703667385778,0.000685937911882029,0.0426533946403239,0.0454591957404114,0.039905119892135,0.0491801350200663,0.95
"hcv","sparsified","kmeans",5,"normalized_mutual_information",30,0.177477761133652,0.00745325521769328,0.00136077200319123,0.174694669896541,0.180260852370763,0.169955270028049,0.187897214028425,0.95
"hcv","sparsified","kmeans",5,"davies_bouldin",30,3.38975232473749,0.235266090801692,0.0429535149827151,3.30190252266105,3.47760212681393,3.06547117773621,3.64120025368179,0.95
"hcv","sparsified","kmeans",5,"calinski_harabasz",30,28.1247934240043,0.0648665298027991,0.0118429538666914,28.1005718637057,28.1490149843028,28.0527991281564,28.2181894038452,0.95
"hcv","sparsified","kmeans",5,"total_withinss",30,23846.175573779,8.56346855523468,1.56346829939607,23842.9779220685,23849.3732254895,23833.8487908087,23855.6811126628,0.95
"hcv","sparsified","kmeans",5,"runtime_sec",30,0.146000000000006,0.0489616317059632,0.00893913004587207,0.127717426255309,0.164282573744702,0.0900000000000318,0.240000000000009,0.95
"statlog_image_segmentation","original","kmeans",7,"adjusted_rand_index",30,0.463658256605698,0.00608669295078896,0.00111127300991827,0.461385448105311,0.465931065106085,0.459982026912638,0.477380756074537,0.95
"statlog_image_segmentation","original","kmeans",7,"clustering_accuracy",30,0.552265512265512,0.0152236074469003,0.00277943773509031,0.546580923821243,0.557950100709781,0.545021645021645,0.586580086580087,0.95
"statlog_image_segmentation","original","kmeans",7,"purity",30,0.561529581529582,0.0169134169650879,0.00308795333208974,0.555214007841269,0.567845155217894,0.553679653679654,0.5995670995671,0.95
"statlog_image_segmentation","original","kmeans",7,"silhouette",30,0.346710397978708,0.0208130208222586,0.00379992033139192,0.338938688279202,0.354482107678213,0.294491305086371,0.364310471523898,0.95
"statlog_image_segmentation","original","kmeans",7,"normalized_mutual_information",30,0.590025643137036,0.00520508014107063,0.000950313268962186,0.588082034270042,0.591969252004029,0.585719552102595,0.600181794200953,0.95
"statlog_image_segmentation","original","kmeans",7,"davies_bouldin",30,1.1135211213023,0.0713392580015082,0.0130247069477023,1.08688260457276,1.14015963803183,1.08094539614402,1.27064992329709,0.95
"statlog_image_segmentation","original","kmeans",7,"calinski_harabasz",30,849.765261055999,2.58901821285718,0.47268789232453,848.79850576714,850.732016344858,844.054177828497,850.964517561003,0.95
"statlog_image_segmentation","original","kmeans",7,"total_withinss",30,12932.0422787127,27.2414292928313,4.9735817741219,12921.8701618407,12942.2143955847,12919.427247501,12992.1355620804,0.95
"statlog_image_segmentation","original","kmeans",7,"runtime_sec",30,0.282333333333349,0.110005746976304,0.0200842096913758,0.241256512333739,0.32341015433296,0.139999999999986,0.550000000000068,0.95
"statlog_image_segmentation","sparsified","kmeans",7,"adjusted_rand_index",30,0.492674273775267,0.0171209212516237,0.0031258382582613,0.486281216712959,0.499067330837576,0.440699602050363,0.509810690885779,0.95
"statlog_image_segmentation","sparsified","kmeans",7,"clustering_accuracy",30,0.606017316017316,0.0116283646242744,0.00212303920387005,0.601675213306151,0.610359418728481,0.574025974025974,0.616017316017316,0.95
"statlog_image_segmentation","sparsified","kmeans",7,"purity",30,0.625252525252525,0.0147227119212085,0.00268798714229871,0.619754974271424,0.630750076233626,0.581385281385281,0.633333333333333,0.95
"statlog_image_segmentation","sparsified","kmeans",7,"silhouette",30,0.192493828131942,0.00613576503389157,0.00112023230553795,0.190202695814581,0.194784960449303,0.175331552913928,0.207672127754034,0.95
"statlog_image_segmentation","sparsified","kmeans",7,"normalized_mutual_information",30,0.627385768531691,0.00930078400808592,0.00169808306790399,0.62391279870641,0.630858738356971,0.597834796259417,0.632595205726259,0.95
"statlog_image_segmentation","sparsified","kmeans",7,"davies_bouldin",30,1.85535507325617,0.0355054083454895,0.00648237102141893,1.84209713589186,1.86861301062048,1.84179148844557,2.04248651343061,0.95
"statlog_image_segmentation","sparsified","kmeans",7,"calinski_harabasz",30,289.668739416209,1.69195735488902,0.308907736536498,289.03695215676,290.300526675657,282.961268023359,290.34360748439,0.95
"statlog_image_segmentation","sparsified","kmeans",7,"total_withinss",30,86850.8928105914,219.698354203329,40.1112481479744,86768.8560968962,86932.9295242866,86763.4198954586,87724.0110837497,0.95
"statlog_image_segmentation","sparsified","kmeans",7,"runtime_sec",30,0.790999999999997,0.260521360564436,0.0475644752976927,0.693719725208667,0.888280274791327,0.42999999999995,1.36000000000001,0.95
"user_knowledge_modeling","original","kmeans",5,"adjusted_rand_index",30,0.102354758653287,0.00199429431871713,0.000364106661555256,0.101610076916176,0.103099440390398,0.0957576840111761,0.105742700805764,0.95
"user_knowledge_modeling","original","kmeans",5,"clustering_accuracy",30,0.377832919768404,0.00491693263871971,0.000897704973320061,0.375996906947079,0.379668932589728,0.37468982630273,0.387096774193548,0.95
