"dataset","representation","method","k","n_used","silhouette","davies_bouldin","calinski_harabasz","adjusted_rand_index","normalized_mutual_information","clustering_accuracy","purity","runtime_sec"
"pen_recognition_handwritten_digits","sparsified","kmeans",6,10992,0.123552122489277,2.34677544315409,841.068979095625,0.416320941329189,0.587538607721796,0.536299126637555,0.536299126637555,3.41000000000001
"pen_recognition_handwritten_digits","sparsified","kmeans",7,10992,0.123493946811664,2.31704793051991,780.573498967902,0.418052039825851,0.590040561129228,0.558588064046579,0.558588064046579,4.27999999999999
"pen_recognition_handwritten_digits","sparsified","kmeans",8,10992,0.11920745120231,2.41526022431425,737.07205644855,0.45516445997354,0.601910060524482,0.612900291120815,0.612900291120815,5.27000000000001
"libras_movement","original","kmeans",2,360,0.200286972489697,2.03289567259163,79.6094164113188,0.0683435106766549,0.29095263034364,0.133333333333333,0.133333333333333,0.0500000000000114
"libras_movement","original","kmeans",3,360,0.164168293188174,1.79115105459986,71.8727406645751,0.0557676071161191,0.190061132022952,0.141666666666667,0.141666666666667,0.0799999999999983
"libras_movement","original","kmeans",4,360,0.175180754632525,1.63499107796793,68.1892289916554,0.119786600032771,0.325174127903742,0.205555555555556,0.205555555555556,0.0799999999999983
"libras_movement","original","kmeans",5,360,0.201055949640611,1.61416170479742,66.6410798907865,0.14952836838096,0.393765011764265,0.244444444444444,0.244444444444444,0.0899999999999892
"libras_movement","original","kmeans",6,360,0.211985375452034,1.52214521990833,64.2151575970156,0.188984675322811,0.412117845795423,0.288888888888889,0.288888888888889,0.109999999999999
"libras_movement","original","kmeans",7,360,0.227187353928465,1.4470875716604,62.1739137824731,0.213746792126446,0.458970357148009,0.333333333333333,0.333333333333333,0.0899999999999892
"libras_movement","original","kmeans",8,360,0.234440328474719,1.43888776858644,59.4498984137419,0.254197436770212,0.50854216737688,0.372222222222222,0.372222222222222,0.0799999999999983
"libras_movement","sparsified","kmeans",2,360,0.0763953513033325,3.51293365296664,26.5178034329349,0.0628493626240217,0.271495119896849,0.133333333333333,0.133333333333333,0.210000000000008
"libras_movement","sparsified","kmeans",3,360,0.0783708846249513,3.14571655450314,25.7533404553907,0.0861783470734153,0.274357936544376,0.180555555555556,0.180555555555556,0.210000000000008
"libras_movement","sparsified","kmeans",4,360,0.0854635624897214,2.95767045187898,24.4648413066402,0.0973729804583704,0.275565364262899,0.191666666666667,0.191666666666667,0.319999999999993
"libras_movement","sparsified","kmeans",5,360,0.0979940072082703,2.71768408765884,23.3407738033998,0.137496183442462,0.352014015354689,0.238888888888889,0.238888888888889,0.280000000000001
"libras_movement","sparsified","kmeans",6,360,0.101005139458215,2.58723585309382,21.5857063658406,0.152399988361941,0.362984537506916,0.266666666666667,0.266666666666667,0.329999999999998
"libras_movement","sparsified","kmeans",7,360,0.0950689162400692,2.67052561524564,19.9590317198873,0.186948812805331,0.412281740438961,0.275,0.275,0.290000000000006
"libras_movement","sparsified","kmeans",8,360,0.0959981729379843,2.51267415008556,18.9791557515539,0.198465287804607,0.4364423029309,0.319444444444444,0.319444444444444,0.280000000000001
"vehicle_silhouettes","original","kmeans",2,846,0.389604137457748,1.03204682603161,588.942507176987,0.0832026696915783,0.133188685069096,0.368794326241135,0.368794326241135,0.0300000000000011
