"dataset","method","k","metric","difference_definition","n_pairs","mean_difference","sd_difference","se_difference","ci_lower","ci_upper","min_difference","max_difference","confidence_level"
"statlog_image_segmentation","kmeans",7,"davies_bouldin","sparsified_minus_original",30,0.741833951953873,0.065249982566564,0.011912962442842,0.717469208040159,0.766198695867587,0.576777511138743,0.782110646831017,0.95
"statlog_image_segmentation","kmeans",7,"calinski_harabasz","sparsified_minus_original",30,-560.09652163979,2.39418963377922,0.437117223121971,-560.990526741606,-559.202516537975,-564.669265381153,-553.710570344108,0.95
"statlog_image_segmentation","kmeans",7,"total_withinss","sparsified_minus_original",30,73918.8505318787,209.202727032205,38.1950175623781,73840.7329497784,73996.9681139791,73771.2843333782,74732.1762342326,0.95
"statlog_image_segmentation","kmeans",7,"runtime_sec","sparsified_minus_original",30,0.401333333333334,0.104509802653025,0.0190807921311584,0.362308731671316,0.440357934995352,0.230000000000018,0.630000000000052,0.95
"vertebral_column_3classes","kmeans",3,"adjusted_rand_index","sparsified_minus_original",30,0.00338174485465018,0,0,0.00338174485465018,0.00338174485465018,0.00338174485465018,0.00338174485465018,0.95
"vertebral_column_3classes","kmeans",3,"clustering_accuracy","sparsified_minus_original",30,0.00645161290322582,0,0,0.00645161290322582,0.00645161290322582,0.00645161290322582,0.00645161290322582,0.95
"vertebral_column_3classes","kmeans",3,"purity","sparsified_minus_original",30,-0.00645161290322582,0,0,-0.00645161290322582,-0.00645161290322582,-0.00645161290322582,-0.00645161290322582,0.95
"vertebral_column_3classes","kmeans",3,"silhouette","sparsified_minus_original",30,-0.16987556450627,0,0,-0.16987556450627,-0.16987556450627,-0.16987556450627,-0.16987556450627,0.95
"vertebral_column_3classes","kmeans",3,"normalized_mutual_information","sparsified_minus_original",30,-0.0112673083744413,4.01901632184068e-17,7.33768632817862e-18,-0.0112673083744413,-0.0112673083744413,-0.0112673083744413,-0.0112673083744412,0.95
"vertebral_column_3classes","kmeans",3,"davies_bouldin","sparsified_minus_original",30,1.14618610190389,0,0,1.14618610190389,1.14618610190389,1.14618610190389,1.14618610190389,0.95
"vertebral_column_3classes","kmeans",3,"calinski_harabasz","sparsified_minus_original",30,-113.768432148001,7.91666841637316e-15,1.44537929064543e-15,-113.768432148001,-113.768432148001,-113.768432148001,-113.768432148001,0.95
"vertebral_column_3classes","kmeans",3,"total_withinss","sparsified_minus_original",30,4961.51572909373,0,0,4961.51572909373,4961.51572909373,4961.51572909373,4961.51572909373,0.95
"vertebral_column_3classes","kmeans",3,"runtime_sec","sparsified_minus_original",30,0.0100000000000042,0.0108278058400643,0.00197687783562981,0.00595683085169895,0.0140431691483094,-0.00999999999993406,0.0299999999999727,0.95
"vertebral_column_2classes","kmeans",2,"adjusted_rand_index","sparsified_minus_original",30,0.0257640949064491,0,0,0.0257640949064491,0.0257640949064491,0.0257640949064491,0.0257640949064491,0.95
"vertebral_column_2classes","kmeans",2,"clustering_accuracy","sparsified_minus_original",30,0.0161290322580645,0,0,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.95
"vertebral_column_2classes","kmeans",2,"purity","sparsified_minus_original",30,0.00322580645161297,0,0,0.00322580645161297,0.00322580645161297,0.00322580645161297,0.00322580645161297,0.95
"vertebral_column_2classes","kmeans",2,"silhouette","sparsified_minus_original",30,-0.231792495168149,0,0,-0.231792495168149,-0.231792495168149,-0.231792495168149,-0.231792495168149,0.95
"vertebral_column_2classes","kmeans",2,"normalized_mutual_information","sparsified_minus_original",30,-0.0230714115429221,0,0,-0.0230714115429221,-0.0230714115429221,-0.0230714115429221,-0.0230714115429221,0.95
"vertebral_column_2classes","kmeans",2,"davies_bouldin","sparsified_minus_original",30,1.35828801672158,0,0,1.35828801672158,1.35828801672158,1.35828801672158,1.35828801672158,0.95
"vertebral_column_2classes","kmeans",2,"calinski_harabasz","sparsified_minus_original",30,-142.495272464059,0,0,-142.495272464059,-142.495272464059,-142.495272464059,-142.495272464059,0.95
"vertebral_column_2classes","kmeans",2,"total_withinss","sparsified_minus_original",30,5288.82371760964,0,0,5288.82371760964,5288.82371760964,5288.82371760964,5288.82371760964,0.95
"vertebral_column_2classes","kmeans",2,"runtime_sec","sparsified_minus_original",30,0.00933333333331916,0.0128474694498292,0.00234561627484332,0.00453600939894072,0.0141306572676976,-0.0199999999999818,0.0299999999999727,0.95
"user_knowledge_modeling","kmeans",5,"adjusted_rand_index","sparsified_minus_original",30,0.327876541147868,0.0127477946552933,0.00232741823038265,0.323116436393449,0.332636645902286,0.291184650103504,0.339331851818537,0.95
"user_knowledge_modeling","kmeans",5,"clustering_accuracy","sparsified_minus_original",30,0.273035566583954,0.0162713421361285,0.00297072704294729,0.266959747577033,0.279111385590875,0.230769230769231,0.28287841191067,0.95
"user_knowledge_modeling","kmeans",5,"purity","sparsified_minus_original",30,0.266253101736973,0.00632296990763291,0.00115441108294563,0.263892065970926,0.26861413750302,0.255583126550868,0.277915632754342,0.95
"user_knowledge_modeling","kmeans",5,"silhouette","sparsified_minus_original",30,-0.0637775929926187,0.00142921605889887,0.000260937958335847,-0.0643112710397648,-0.0632439149454727,-0.0643433337055801,-0.0586383346752032,0.95
"user_knowledge_modeling","kmeans",5,"normalized_mutual_information","sparsified_minus_original",30,0.311999258082173,0.00604824502918762,0.00110425341193485,0.309740806271658,0.314257709892688,0.306030942425755,0.329599811093765,0.95
"user_knowledge_modeling","kmeans",5,"davies_bouldin","sparsified_minus_original",30,0.922246825632907,0.0191856014553911,0.00350279556547388,0.915082804312068,0.929410846953745,0.856477112874114,0.93433753841578,0.95
"user_knowledge_modeling","kmeans",5,"calinski_harabasz","sparsified_minus_original",30,-49.4809041510669,0.263267686860688,0.0480658835852684,-49.5792099209508,-49.382598381183,-50.1581783961835,-49.3160385042172,0.95
