"dataset","representation","method","k","metric","n_runs","mean","sd","se","ci_lower","ci_upper","min","max","confidence_level"
"wholesale_customers","sparsified","kmeans",3,"purity",30,0.718181818181818,0,0,0.718181818181818,0.718181818181818,0.718181818181818,0.718181818181818,0.95
"wholesale_customers","sparsified","kmeans",3,"silhouette",30,0.110861746140904,0,0,0.110861746140904,0.110861746140904,0.110861746140904,0.110861746140904,0.95
"wine","original","kmeans",3,"adjusted_rand_index",30,0.897494981509321,0,0,0.897494981509321,0.897494981509321,0.897494981509321,0.897494981509321,0.95
"wine","original","kmeans",3,"clustering_accuracy",30,0.966292134831461,0,0,0.966292134831461,0.966292134831461,0.966292134831461,0.966292134831461,0.95
"wine","original","kmeans",3,"purity",30,0.966292134831461,0,0,0.966292134831461,0.966292134831461,0.966292134831461,0.966292134831461,0.95
"wine","original","kmeans",3,"silhouette",30,0.284858919189899,0,0,0.284858919189899,0.284858919189899,0.284858919189899,0.284858919189899,0.95
"wine","sparsified","kmeans",3,"adjusted_rand_index",30,0.914879596066953,0,0,0.914879596066953,0.914879596066953,0.914879596066953,0.914879596066953,0.95
"wine","sparsified","kmeans",3,"clustering_accuracy",30,0.971910112359551,0,0,0.971910112359551,0.971910112359551,0.971910112359551,0.971910112359551,0.95
"wine","sparsified","kmeans",3,"purity",30,0.971910112359551,0,0,0.971910112359551,0.971910112359551,0.971910112359551,0.971910112359551,0.95
"wine","sparsified","kmeans",3,"silhouette",30,0.116660338412682,0,0,0.116660338412682,0.116660338412682,0.116660338412682,0.116660338412682,0.95
