"dataset","representation","method","k","run_id","fit_seed","silhouette_seed","n_used","p_used","nstart","iter_max","algorithm","silhouette_sample_n","silhouette","davies_bouldin","calinski_harabasz","adjusted_rand_index","normalized_mutual_information","clustering_accuracy","purity","total_withinss","iterations","ifault","runtime_sec"
"libras_movement","original","kmeans",15,4,43233221,53233221,360,90,30,100,"Hartigan-Wong",360,0.254958547575183,1.24577729576782,52.9540641951163,0.320122219076719,0.602290845827254,0.461111111111111,0.472222222222222,10260.854432843,5,0,0.129999999999995
"libras_movement","sparsified","kmeans",15,4,43233221,53233221,360,360,30,100,"Hartigan-Wong",360,0.107197468665883,2.30198275121125,14.6383970315175,0.265613023148858,0.541709493713071,0.416666666666667,0.447222222222222,81077.932059015,7,0,0.5
"libras_movement","original","kmeans",15,5,43233222,53233222,360,90,30,100,"Hartigan-Wong",360,0.255217856840672,1.29771255282663,53.3931667280762,0.314993356297663,0.601448194982961,0.444444444444444,0.455555555555556,10203.1174166766,4,0,0.089999999999975
"libras_movement","sparsified","kmeans",15,5,43233222,53233222,360,360,30,100,"Hartigan-Wong",360,0.107532825510786,2.27304429675101,14.8280207963227,0.262130842677917,0.538831946812634,0.413888888888889,0.433333333333333,80688.4220323234,3,0,0.46999999999997
"libras_movement","original","kmeans",15,6,43233223,53233223,360,90,30,100,"Hartigan-Wong",360,0.245564672516354,1.31187854886078,52.9985189255718,0.31001712069586,0.593563818057957,0.461111111111111,0.472222222222222,10254.9794272577,3,0,0.110000000000014
"libras_movement","sparsified","kmeans",15,6,43233223,53233223,360,360,30,100,"Hartigan-Wong",360,0.111535407297729,2.23691844626888,15.1007793412433,0.28930540499028,0.569410981807079,0.455555555555556,0.480555555555556,80134.661517875,4,0,0.480000000000018
"libras_movement","original","kmeans",15,7,43233224,53233224,360,90,30,100,"Hartigan-Wong",360,0.250830805308953,1.29294723744517,52.9299372124347,0.315018231814617,0.603238130730231,0.452777777777778,0.463888888888889,10264.0458024367,4,0,0.120000000000005
"libras_movement","sparsified","kmeans",15,7,43233224,53233224,360,360,30,100,"Hartigan-Wong",360,0.10991608026512,2.25539194448406,14.8387275005652,0.267130891840018,0.550129110715127,0.413888888888889,0.45,80666.540765948,5,0,0.620000000000005
"libras_movement","original","kmeans",15,8,43233225,53233225,360,90,30,100,"Hartigan-Wong",360,0.252813443249598,1.29366045410491,53.4684368019793,0.319196838217376,0.603400876771629,0.466666666666667,0.477777777777778,10193.2854274314,4,0,0.120000000000005
"libras_movement","sparsified","kmeans",15,8,43233225,53233225,360,360,30,100,"Hartigan-Wong",360,0.108333903540874,2.26956080299343,14.8990132027803,0.276845874421145,0.550433333092559,0.430555555555556,0.45,80543.5562178517,5,0,0.689999999999998
"libras_movement","original","kmeans",15,9,43233226,53233226,360,90,30,100,"Hartigan-Wong",360,0.254819099810069,1.27742988208529,53.3688884295055,0.307674098368244,0.58995960924802,0.441666666666667,0.45,10206.2927632758,4,0,0.139999999999986
"libras_movement","sparsified","kmeans",15,9,43233226,53233226,360,360,30,100,"Hartigan-Wong",360,0.107677242939852,2.19161036330773,14.7536985548509,0.275834122465857,0.554101186448515,0.411111111111111,0.45,80840.6420495315,5,0,0.670000000000016
"libras_movement","original","kmeans",15,10,43233227,53233227,360,90,30,100,"Hartigan-Wong",360,0.254009852787606,1.27553578366745,52.6172527576374,0.313083022810986,0.591790582164434,0.45,0.469444444444444,10305.5860949612,4,0,0.129999999999995
"libras_movement","sparsified","kmeans",15,10,43233227,53233227,360,360,30,100,"Hartigan-Wong",360,0.111095762649759,2.22587307778902,14.7607197490182,0.284654841596212,0.558774847910498,0.444444444444444,0.475,80826.2373205907,4,0,0.70999999999998
"libras_movement","original","kmeans",15,11,43233228,53233228,360,90,30,100,"Hartigan-Wong",360,0.25406607381523,1.27946137580219,53.1199224892959,0.303285071705121,0.585912893932791,0.447222222222222,0.469444444444444,10238.9693122094,4,0,0.139999999999986
"libras_movement","sparsified","kmeans",15,11,43233228,53233228,360,360,30,100,"Hartigan-Wong",360,0.10609090860552,2.23142726576678,14.8280116383885,0.260377607365842,0.533165492046656,0.411111111111111,0.436111111111111,80688.440753453,4,0,0.670000000000016
"libras_movement","original","kmeans",15,12,43233229,53233229,360,90,30,100,"Hartigan-Wong",360,0.249011267181358,1.28322528783419,52.3750082477814,0.314595513017076,0.594068485616939,0.466666666666667,0.488888888888889,10338.0002840548,3,0,0.110000000000014
"libras_movement","sparsified","kmeans",15,12,43233229,53233229,360,360,30,100,"Hartigan-Wong",360,0.112255971643517,2.2464481503931,14.670884644808,0.284472827263412,0.566634570263606,0.441666666666667,0.475,81010.9318605261,4,0,0.520000000000039
