"dataset","representation","method","k","run_id","fit_seed","silhouette_seed","n_used","p_used","nstart","iter_max","algorithm","silhouette_sample_n","silhouette","davies_bouldin","calinski_harabasz","adjusted_rand_index","normalized_mutual_information","clustering_accuracy","purity","total_withinss","iterations","ifault","runtime_sec"
"housing_years","sparsified","kmeans",3,22,40093039,50093039,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,1,0,0.0199999999999818
"housing_years","original","kmeans",3,23,40093040,50093040,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,23,40093040,50093040,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,1,0,0
"housing_years","original","kmeans",3,24,40093041,50093041,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,24,40093041,50093041,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,1,0,0
"housing_years","original","kmeans",3,25,40093042,50093042,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,25,40093042,50093042,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,1,0,0
"housing_years","original","kmeans",3,26,40093043,50093043,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,26,40093043,50093043,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,2,0,0
"housing_years","original","kmeans",3,27,40093044,50093044,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
