"omitted_year","k","original_selected_k","sparsified_selected_k","original_selected_k_matches_full","sparsified_selected_k_matches_full","original_mean_silhouette","original_sd_silhouette","sparsified_mean_silhouette","sparsified_sd_silhouette","paired_difference_mean","paired_difference_sd","valid_paired_runs","full_original_mean_silhouette","full_sparsified_mean_silhouette","full_paired_difference_mean","original_mean_change_from_full","sparsified_mean_change_from_full","paired_difference_change_from_full"
2014,3,2,5,TRUE,FALSE,0.59427796127772,0,0.51778059830456,0,-0.0764973629731606,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,-0.00716676611187661,-0.0481530971051733,-0.0409863309932967
2014,4,2,5,TRUE,FALSE,0.589478315661298,0,0.616472354986392,0,0.0269940393250937,0,30,0.576943468633088,0.675924163706872,0.098980695073784,0.01253484702821,-0.0594518087204804,-0.0719866557486903
2014,5,2,5,TRUE,FALSE,0.568698310403859,0.00385327145433583,0.630319628065767,0,0.061621317661908,0.00385327145433583,30,0.545630463460236,0.658013394766086,0.112382931305851,0.0230678469436228,-0.0276937667003198,-0.0507616136439427
2015,2,2,4,TRUE,TRUE,0.659089254826571,0,0.347366625445198,0,-0.311722629381373,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,0.00254490166661003,-0.049592349103614,-0.0521372507702241
2015,3,2,4,TRUE,TRUE,0.613588425657553,0,0.518391315277362,0,-0.0951971103801909,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,0.0121436982679558,-0.0475423801323712,-0.059686078400327
2015,4,2,4,TRUE,TRUE,0.56607338232181,0,0.61387285889692,0,0.04779947657511,0,30,0.576943468633088,0.675924163706872,0.098980695073784,-0.0108700863112784,-0.0620513048099525,-0.0511812184986741
2015,5,2,4,TRUE,TRUE,0.557651143102465,0,0.598486837513009,0,0.0408356944105441,0,30,0.545630463460236,0.658013394766086,0.112382931305851,0.0120206796422289,-0.0595265572530776,-0.0715472368953065
2016,2,2,4,TRUE,TRUE,0.653296413097242,0,0.347673764599989,0,-0.305622648497253,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,-0.00324794006271956,-0.0492852099488228,-0.0460372698861032
2016,3,2,4,TRUE,TRUE,0.623536958765302,0,0.518687831048295,0,-0.104849127717007,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,0.0220922313757053,-0.0472458643614382,-0.0693380957371434
2016,4,2,4,TRUE,TRUE,0.566228479367839,0,0.616351318358487,0,0.050122838990648,0,30,0.576943468633088,0.675924163706872,0.098980695073784,-0.0107149892652486,-0.0595728453483847,-0.0488578560831361
2016,5,2,4,TRUE,TRUE,0.565249568317699,0,0.592253400682061,0,0.0270038323643623,0,30,0.545630463460236,0.658013394766086,0.112382931305851,0.019619104857463,-0.0657599940840253,-0.0853790989414883
2017,2,2,4,TRUE,TRUE,0.651025396788875,0,0.3470382683753,0,-0.303987128413575,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,-0.00551895637108657,-0.049920706173512,-0.0444017498024254
2017,3,2,4,TRUE,TRUE,0.634329070243345,0,0.518349853155826,0,-0.115979217087519,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,0.0328843428537482,-0.0475838422539074,-0.0804681851076556
2017,4,2,4,TRUE,TRUE,0.593110151281154,0,0.626521578242983,0,0.0334114269618286,0,30,0.576943468633088,0.675924163706872,0.098980695073784,0.0161666826480663,-0.0494025854638891,-0.0655692681119554
